average(station_latitude),average(station_longitude)
58.8230389678,-150.3777628706
35.4256071,-90.8386531929
18.64447329,-71.6392323435
42.7400142,-118.2735895907
40.4734,-104.7163128643
41.6865,-73.2499525031
53.2471389678,-162.0445628706
52.6764389678,-171.7132628706
41.3714667,-115.1367012272
60.2100389678,-145.7420628706
60.2158389678,-145.7276628706
56.1633389678,-161.9728628706
56.7159389678,-158.2239628706
58.4498389678,-139.1623628706
56.2959389678,-157.5671628706
32.0072667,-104.8821186743
60.2167389678,-145.0659628706
52.4432389678,174.9057371294
59.4941389678,-146.5649628706
52.6841389678,-167.0357628706
50.9421389678,-173.8624628706
36.5440924,-81.4911193297
52.6557389678,177.4534371294
62.6527389678,-145.4430628706
52.7846389678,-174.4186628706
20.84116907,-156.2667550842
54.1104389678,-163.0759628706
54.7808389678,-165.7034628706
63.09133,-139.0074539201
66.5893389678,-155.1840628706
56.6557389678,-157.0525628706
59.2062389678,-147.5864628706
52.7801389678,-174.4422628706
50.6957389678,-174.6009628706
41.86206414,-122.5516632462
61.8861389678,-156.3502628706
49.49511468,-119.5319168927
54.4969389678,-162.3824628706
37.36621035,-124.5081094075
50.6904389678,179.2958371294
61.8090389678,-143.6337628706
32.4088,-118.9134008113
61.0943389678,-154.6066628706
34.6169667,-122.0351321608
69.6024389678,-148.1445628706
33.1801,-96.9111636924
35.3037,-110.0473579814
47.9785262,-115.9510067326
37.2717093,-84.0604345005
35.0106397,-87.7925142828
64.4962389678,-143.4765628706
43.29515824,-126.0474422194
64.2190389678,-154.7833628706
33.1719,-96.9340257281
59.8707389678,-144.9753628706
42.78428159,-118.3548465855
34.0605587,-81.6636727264
19.28540108,-74.918378925
37.0597,-111.4202624221
36.4987,-110.5513740735
58.6674389678,-156.0177628706
33.5731641,-81.72561239
47.62915006,-103.9987524601
58.6292389678,-155.5450628706
42.22959783,-124.2313894168
42.48170277,-125.0961493603
50.7099389678,-173.8332628706
67.5708389678,-154.5198628706
61.6990389678,-143.8055628706
35.7112,-95.1260823542
67.0391389678,-157.0612628706
36.1759799,-83.5413679119
20.643987,-155.6716688221
20.89584838,-155.0269517985
39.5967,-64.1477621256
37.6485777,-92.3990170794
20.896,-154.7664279283
32.4153667,-125.1611430736
18.09835355,-69.3760528257
37.2317082,-83.8947953117
43.2692278,-125.1781285984
48.4829414,-118.0510038845
50.57252347,-125.1645911775
56.8492389678,-158.3267628706
55.0622389678,-162.0189628706
45.716868,-107.3747997701
36.6303473,-92.8728224021
67.1932389678,-146.6147628706
54.5803389678,-163.6909628706
69.3495389678,-144.3767628706
19.90317942,-71.6649123213
42.47598376,-124.6495986348
45.9266721,-112.0689303346
36.0502,-126.3122929992
32.0307667,-105.4897366195
38.3387681,-127.0850095078
32.0601333,-119.3616268666
20.6054426,-71.9316603806
32.97633261,-80.1984541118
64.7214389678,-159.2941628706
20.1067136,-153.0604868365
20.1231799,-158.5720793245
41.7540333,-122.8426886517
43.15754031,-120.1007755434
37.3645978,-83.3253819583
36.6923598,-84.9732234204
62.6389389678,-154.6511628706
36.2815,-82.2352542287
36.1209462,-82.3922814598
39.2734,-94.3056673319
57.8741389678,-157.5566628706
51.8247389678,-179.7603628706
42.48386799,-125.5664906262
67.1724389678,-146.7352628706
47.391387,-109.0477281145
49.95320493,-121.9794755072
36.4369,-112.214001166
35.0694462,-84.8628137911
37.0493598,-82.1276761885
35.6012745,-87.6344069103
35.5939745,-87.6847175342
59.0937389678,-134.9036628706
64.4947389678,-158.1635628706
56.9987389678,-157.6872628706
42.38365548,-128.6937538529
64.8526389678,-155.8484628706
18.76125536,-59.952985775
60.9433389678,-156.8645628706
35.4509,-111.5276992497
32.9870389678,-97.0089628706
19.75650903,-73.220644475
