"lat","long","mag","place","url"
32.312,76.4825,4.2,"17km ENE of Dharmsala, India","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rgty"
-0.507,99.0733,4.6,"68km N of Sikabaluan, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rh62"
24.0918,124.8342,4.6,"74km ESE of Ishigaki, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rh70"
2.4735,128.5951,4.8,"105km NE of Tobelo, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rh7x"
38.5853,141.982,4.5,"58km SSE of Ofunato, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rhbp"
26.3922,127.0912,4.8,"62km WNW of Naha-shi, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rgnr"
36.636,71.5922,4.9,"7km SE of Ashkasham, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rgw6"
35.4576,140.0155,4.7,"8km SW of Ichihara, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rh0g"
34.2923,83.2676,4.1,"240km NNW of Luring, China","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rh8f"
29.1339,142.4693,4.8,"Izu Islands, Japan region","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rih7"
35.7892,32.1474,4.5,"55km SSW of Gazipasa, Turkey","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rh6j"
23.8506,125.1963,4.8,"105km S of Hirara, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000riwh"
38.0347,95.5287,4.0,"31km NE of Da Qaidam Hu, China","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rij7"
25.8867,97.3387,4.1,"56km N of Myitkyina, Burma","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rijf"
29.21,51.48,4.3,"26km ESE of Borazjan, Iran","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rij3"
28.4103,141.5831,4.4,"159km NNW of Chichi-shima, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rjbh"
0.9321,125.4392,4.7,"63km SSE of Bitung, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rjc5"
6.1953,126.737,4.3,"64km ESE of Pondaguitan, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rjck"
49.5574,72.9471,4.8,"10km SE of Abay, Kazakhstan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rjds"
34.1403,140.1027,4.2,"95km SSE of Tateyama, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rjvz"
0.2197,98.532,4.4,"150km SSW of Padangsidempuan, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rjw2"
-10.6341,120.3157,4.1,"49km S of Nggongi, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rjx9"
24.7158,122.5967,4.4,"49km NW of Yonakuni, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rjzu"
38.4905,70.2782,4.6,"47km NNE of Muminobod, Tajikistan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rk43"
40.9806,71.5993,4.7,"5km WSW of Namangan Shahri, Uzbekistan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rkbl"
36.5047,70.8611,4.6,"Hindu Kush region, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rl57"
-2.9597,129.6475,4.5,"91km ENE of Amahai, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rl59"
43.093,145.6008,4.8,"25km S of Nemuro, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rma6"
-7.3177,128.9165,4.5,"273km WNW of Saumlaki, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rmbf"
37.6382,141.7207,4.7,"65km ENE of Namie, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rmjq"
5.087,96.0472,4.6,"29km WSW of Reuleuet, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rmp7"
36.3405,139.0101,4.6,"0km NW of Takasaki, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rn8g"
35.847,140.933,4.8,"15km NE of Hasaki, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rn8z"
-9.3116,125.3697,4.3,"38km SSW of Ainaro, East Timor","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rn9s"
