"lat","long","mag","place","url"
64.5873,-17.8652,4.8,"122km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sgmz"
64.636,-17.5371,4.8,"119km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sgrt"
64.527,-17.9498,4.7,"129km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sgvl"
64.6706,-17.4876,4.9,"116km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sgyl"
64.6137,-17.8783,4.6,"119km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000shc8"
64.5476,-17.4508,4.6,"113km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000shga"
43.0647,18.2413,4.5,"17km NE of Ljubinje, Bosnia and Herzegovina","http://earthquake.usgs.gov/earthquakes/eventpage/usb000shdf"
35.102,27.1509,4.1,"45km S of Karpathos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000shi8"
64.5341,-17.863,4.4,"128km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000shp1"
64.6597,-17.8384,4.6,"114km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000shuf"
64.552,-17.6745,4.9,"123km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000si1b"
64.6229,-17.4568,4.6,"115km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000si2s"
64.6151,-17.4144,4.8,"113km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sid1"
12.896,-70.1499,4.7,"32km NNW of Arasji, Aruba","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sieq"
64.6064,-17.5592,4.7,"119km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sih2"
35.9152,26.9732,4.3,"50km NNW of Karpathos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000si68"
37.9672,21.7516,4.8,"14km SE of Kato Mazarakion, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000sihx"
